date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
Metropolitano 1984,76,Rosario Central,0,0,Union,93
Torneo Nacional 1984,3,Altos Hornos Zapla,0,1,Ferro,40
Torneo Nacional 1984,88,Talleres (C),1,1,Ferro,40
Torneo Nacional 1984,40,Ferro,2,0,Altos Hornos Zapla,3
Metropolitano 1984,90,Temperley,0,0,Ferro,40
Metropolitano 1984,40,Ferro,0,1,Temperley,90
Metropolitano 1984,94,Velez,0,1,Newells,66
Metropolitano 1984,66,Newells,0,0,Velez,94
Torneo Nacional 1984,40,Ferro,1,0,Talleres (C),88
Metropolitano 1984,40,Ferro,2,0,Huracan,48
Torneo Nacional 1984,48,Huracan,1,0,Ferro,40
Torneo Nacional 1984,40,Ferro,1,0,Huracan,48
Metropolitano 1984,72,Racing (C),3,0,Platense,70
Metropolitano 1984,48,Huracan,0,1,Chacarita,21
Metropolitano 1984,21,Chacarita,1,0,Huracan,48
Metropolitano 1984,21,Chacarita,2,0,Atlanta,13
Metropolitano 1984,13,Atlanta,1,0,Chacarita,21
Metropolitano 1984,7,Argentinos,2,1,Rosario Central,76
Metropolitano 1984,70,Platense,1,0,Racing (C),72
Metropolitano 1984,76,Rosario Central,0,3,Argentinos,7
Torneo Nacional 1984,57,Instituto,5,0,Altos Hornos Zapla,3
Metropolitano 1984,17,Boca Juniors,0,3,Velez,94
Metropolitano 1984,72,Racing (C),1,0,Estudiantes (LP),37
Metropolitano 1984,56,Independiente,0,1,Newells,66
Metropolitano 1984,66,Newells,2,0,Independiente,56
Metropolitano 1984,66,Newells,0,2,Union,93
Torneo Nacional 1984,3,Altos Hornos Zapla,0,2,Instituto,57
Metropolitano 1984,88,Talleres (C),1,3,Argentinos,7
Metropolitano 1984,93,Union,0,5,Ferro,40
Metropolitano 1984,75,River Plate,0,1,Velez,94
Metropolitano 1984,17,Boca Juniors,0,0,Chacarita,21
Metropolitano 1984,93,Union,3,0,Rosario Central,76
Metropolitano 1984,75,River Plate,0,0,Instituto,57
Metropolitano 1984,57,Instituto,2,2,River Plate,75
Metropolitano 1984,77,San Lorenzo,1,0,Rosario Central,76
